4,9,2011,32,תמיכות שונות,08,תמיכות בתחבורה,04,תמיכה ישירה בתעריפים,השלמת סבסוד הוצ ביטחון קהיר ועמאן,-1750
4,9,2011,32,תמיכות שונות,08,תמיכות בתחבורה,09,תמיכות שונות,השלמת סבסוד הוצ ביטחון קהיר ועמאן,1750
10,68,2011,34,משרד התשתיות הלאומיות,06,מינהל המחקר למדעי האדמה והים,03,שירותים מרכזיים,מינהל המחקר למדעי האדמה והים,-19359
10,68,2011,34,משרד התשתיות הלאומיות,06,מינהל המחקר למדעי האדמה והים,04,אמרכלות,מינהל המחקר למדעי האדמה והים,19359
13,88,2011,13,הוצאות שונות,01,הוצאות שונות,25,מימון הסכמים קודמים,"תמת מכון היצוא - 18.4 מלש""ח -סיכום תקציב",-18393
13,89,2011,38,תמיכות בענפי המשק,04,פעולות שונות לפיתוח,04,"תמיכות בשיווק לחו""ל",תקצוב מכון היצוא,3379
13,89,2011,38,תמיכות בענפי המשק,07,תמיכות בגופים המקדמים יצוא,01,תמיכה בפעולות גופים המקדמים יצוא,תקצוב מכון היצוא,18393
13,89,2011,38,תמיכות בענפי המשק,12,עידוד עסקים קטנים,03,מימושי ערבויות מדינה ובקרה על ערבויות - עסקים קטנים,תקצוב מכון היצוא,-3379
16,51,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,12,אמרכלות,תקנות הכנסה ושיפור שירות,-1350
16,51,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,22,תגמולים והענקות נכי מלחמה בנאצים,תקנות הכנסה ושיפור שירות,0
16,51,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,31,טיפול ושיקום רפואי נכי רדיפות הנאצים,תקנות הכנסה ושיפור שירות,0
16,51,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,32,תגמולים והענקות נכי,תקנות הכנסה ושיפור שירות,0
16,51,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,35,יישום חוק הטבות לניצולי שואה נזקקים,תקנות הכנסה ושיפור שירות,1350
26,191,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,11,הנהלה,תוספת כמויות,2951
26,191,2011,25,הרשות לזכויות ניצולי השואה,01,תגמולים לנכים,12,אמרכלות,תוספת כמויות,-2951
56,824,2011,13,הוצאות שונות,01,הוצאות שונות,05,הוצאות שונות,משכורות תעש 50,-48700
56,824,2011,13,הוצאות שונות,01,הוצאות שונות,25,מימון הסכמים קודמים,משכורות תעש 50,-2165
56,825,2011,83,הוצאות פיתוח אחרות,06,השקעות בחברות,03,גופים במשבר - מימון,משכורות תעש,50865
64,158,2011,05,משרד האוצר,10,"שירות עיבודים ממוכנים (שע""מ)",11,תפעול היחידה - כח אדם,"בני מיעוטים ברשות המיסים ושע""מ",0
64,158,2011,05,משרד האוצר,20,רשות המסים בישראל,01,תקציב שכר,"בני מיעוטים ברשות המיסים ושע""מ",0
74,150,2011,83,הוצאות פיתוח אחרות,06,השקעות בחברות,03,גופים במשבר - מימון,"שכפצי""ם - מתפ""ש",-1502
74,151,2011,17,תאום הפעולות בשטחים,31,המנהל האזרחי באזור,01,מטה צבאי,"שינויים פנימיים+שכפצי""ם",88
74,151,2011,17,תאום הפעולות בשטחים,31,המנהל האזרחי באזור,02,שכר אזרחים,"שינויים פנימיים+שכפצי""ם",0
74,151,2011,17,תאום הפעולות בשטחים,31,המנהל האזרחי באזור,08,יחידת הפיקוח,"שינויים פנימיים+שכפצי""ם",0
74,151,2011,17,תאום הפעולות בשטחים,31,המנהל האזרחי באזור,09,פיתוח האזור,"שינויים פנימיים+שכפצי""ם",0
74,151,2011,17,תאום הפעולות בשטחים,31,המנהל האזרחי באזור,10,השתתפויות משרד הביטחון,"שינויים פנימיים+שכפצי""ם",0
74,151,2011,17,תאום הפעולות בשטחים,32,מנהלת תיאום הפעולות,01,מפקדה,"שינויים פנימיים+שכפצי""ם",597
74,151,2011,17,תאום הפעולות בשטחים,33,מפקדת תיאום וקישור חבל,01,מטה,"שינויים פנימיים+שכפצי""ם",817
74,151,2011,17,תאום הפעולות בשטחים,33,מפקדת תיאום וקישור חבל,02,שכר אזרחים,"שינויים פנימיים+שכפצי""ם",0
133,140,2011,51,דיור ממשלתי,01,בניית משרדי ממשלה,01,פעולות מרכזיות,פנייה ראשונה-51,0
133,140,2011,51,דיור ממשלתי,01,בניית משרדי ממשלה,02,בניית קרית הלאום,פנייה ראשונה-51,0
133,140,2011,51,דיור ממשלתי,01,בניית משרדי ממשלה,03,בניית קריות ממשלה,פנייה ראשונה-51,-2800
133,140,2011,51,דיור ממשלתי,01,בניית משרדי ממשלה,04,רכישה ומכירת שירותים,פנייה ראשונה-51,0
133,140,2011,51,דיור ממשלתי,02,פעולות מרכזיות,01,"תשלומי שכ""ד",פנייה ראשונה-51,0
133,140,2011,51,דיור ממשלתי,02,פעולות מרכזיות,02,תכנון - ופעולות מרכזיות,פנייה ראשונה-51,2800
133,140,2011,51,דיור ממשלתי,04,בתי משפט-תכנית חדשה,01,בתי משפט - כללי,פנייה ראשונה-51,0
171,124,2011,36,משרד התעשייה המסחר,15,שירות התעסוקה,17,שירותים מרכזיים,שירות התעסוקה - תפעול ומכירת נכסים,90
171,124,2011,36,משרד התעשייה המסחר,15,שירות התעסוקה,18,לשכות שרות התעסוקה,שירות התעסוקה - תפעול ומכירת נכסים,750
171,124,2011,36,משרד התעשייה המסחר,15,שירות התעסוקה,21,אמרכלות,שירות התעסוקה - תפעול ומכירת נכסים,5722
171,124,2011,36,משרד התעשייה המסחר,15,שירות התעסוקה,23,מחשוב,שירות התעסוקה - תפעול ומכירת נכסים,385
171,124,2011,36,משרד התעשייה המסחר,15,שירות התעסוקה,26,כלים תומכי השמה,שירות התעסוקה - תפעול ומכירת נכסים,0
171,124,2011,36,משרד התעשייה המסחר,24,רזרבה עבודה,01,רזרבה,שירות התעסוקה - תפעול ומכירת נכסים,-6947
176,129,2011,20,משרד החינוך,21,יחידות מטה,21,רזרבה לשכר,בני מיעוטים,-1311
176,129,2011,20,משרד החינוך,22,אמרכלות ועובדי משרד,01,עובדי משרד,בני מיעוטים,1152
176,129,2011,20,משרד החינוך,28,חינוך התישבותי,01,עובדי האגף,בני מיעוטים,159
177,101,2011,18,רשויות מקומיות,01,העברות לרשויות מקומיות,01,מענקים שוטפים לרשויות,פניה מקבילה לפניית מרץ סעיף 06,-500
177,101,2011,18,רשויות מקומיות,03,מענקים מיועדים לרשויות,01,מענקים מיועדים,פניה מקבילה לפניית מרץ סעיף 06,-4000
177,102,2011,06,משרד הפנים,01,הנהלת המשרד ואמרכלות,01,הנהלת המשרד,פניית מרץ,1064
177,102,2011,06,משרד הפנים,03,שלטון מקומי,01,שירותים מרכזיים,פניית מרץ,174
177,102,2011,06,משרד הפנים,06,שירותי חירום ותפקידים,01,האגף לחירום ברשויות,פניית מרץ,750
177,102,2011,06,משרד הפנים,10,נציבות כבאות והצלה,02,תקציב נציבות כבאות והצלה,פניית מרץ,-600
177,102,2011,06,משרד הפנים,15,תפעול שירותי דת,01,שירותי דת לעדות לא יהודיות,פניית מרץ,3112
177,102,2011,06,משרד הפנים,15,תפעול שירותי דת,03,מבני דת לא יהודיים,פניית מרץ,0
239,653,2011,04,משרד ראש הממשלה,02,ראשות הממשלה,69,תוכנית פיתוח ישובי המגזר הערבי,העברה למשרד החינוך,-24000
239,654,2011,04,משרד ראש הממשלה,01,תחום פעולה כללי,11,שירותים מרכזיים,העברה למשרד החינוך,-70
239,654,2011,04,משרד ראש הממשלה,02,ראשות הממשלה,70,הרשות לפיתוח כלכלי של המגזר הערבי,העברה למשרד החינוך,-500
239,654,2011,04,משרד ראש הממשלה,02,ראשות הממשלה,81,המשרד לענייני גמלאים,העברה למשרד החינוך,-4300
239,655,2011,20,משרד החינוך,24,מינהל פדגוגי-כללי,01,תכניות לקידום החינוך למיעוטים,"גג לגג מרוה""מ",24500
239,655,2011,20,משרד החינוך,24,מינהל פדגוגי-כללי,05,הוראת המקצועות תוכניות,"גג לגג מרוה""מ",1800
239,655,2011,20,משרד החינוך,24,מינהל פדגוגי-כללי,14,חינוך לא פורמאלי,"גג לגג מרוה""מ",2000
239,655,2011,20,משרד החינוך,24,מינהל פדגוגי-כללי,16,חינוך מבוגרים,"גג לגג מרוה""מ",500
239,655,2011,20,משרד החינוך,26,חינוך יסודי,09,שירותי עזר במערכת,"גג לגג מרוה""מ",70
242,640,2011,13,הוצאות שונות,01,הוצאות שונות,10,שיפוי רשויות מקומיות,מענק בירה,-20000
242,640,2011,13,הוצאות שונות,01,הוצאות שונות,30,רזרבה לפעולות מיוחדות,מענק בירה,-600
242,641,2011,33,משרד החקלאות,21,תחום פעולה כללי,01,מטה המשרד,העברה לפנים למצעד מועצות אזוריות,-300
